"cytometer","detector","laser","description"
"aurora","UV1-A","UV",""
"aurora","UV2-A","UV",""
"aurora","UV3-A","UV",""
"aurora","UV4-A","UV",""
"aurora","UV5-A","UV",""
"aurora","UV6-A","UV",""
"aurora","UV7-A","UV",""
"aurora","UV8-A","UV",""
"aurora","UV9-A","UV",""
"aurora","UV10-A","UV",""
"aurora","UV11-A","UV",""
"aurora","UV12-A","UV",""
"aurora","UV13-A","UV",""
"aurora","UV14-A","UV",""
"aurora","UV15-A","UV",""
"aurora","UV16-A","UV",""
"aurora","V1-A","Violet",""
"aurora","V2-A","Violet",""
"aurora","V3-A","Violet",""
"aurora","V4-A","Violet",""
"aurora","V5-A","Violet",""
"aurora","V6-A","Violet",""
"aurora","V7-A","Violet",""
"aurora","V8-A","Violet",""
"aurora","V9-A","Violet",""
"aurora","V10-A","Violet",""
"aurora","V11-A","Violet",""
"aurora","V12-A","Violet",""
"aurora","V13-A","Violet",""
"aurora","V14-A","Violet",""
"aurora","V15-A","Violet",""
"aurora","V16-A","Violet",""
"aurora","B1-A","Blue",""
"aurora","B2-A","Blue",""
"aurora","B3-A","Blue",""
"aurora","B4-A","Blue",""
"aurora","B5-A","Blue",""
"aurora","B6-A","Blue",""
"aurora","B7-A","Blue",""
"aurora","B8-A","Blue",""
"aurora","B9-A","Blue",""
"aurora","B10-A","Blue",""
"aurora","B11-A","Blue",""
"aurora","B12-A","Blue",""
"aurora","B13-A","Blue",""
"aurora","B14-A","Blue",""
"aurora","YG1-A","YellowGreen",""
"aurora","YG2-A","YellowGreen",""
"aurora","YG3-A","YellowGreen",""
"aurora","YG4-A","YellowGreen",""
"aurora","YG5-A","YellowGreen",""
"aurora","YG6-A","YellowGreen",""
"aurora","YG7-A","YellowGreen",""
"aurora","YG8-A","YellowGreen",""
"aurora","YG9-A","YellowGreen",""
"aurora","YG10-A","YellowGreen",""
"aurora","R1-A","Red",""
"aurora","R2-A","Red",""
"aurora","R3-A","Red",""
"aurora","R4-A","Red",""
"aurora","R5-A","Red",""
"aurora","R6-A","Red",""
"aurora","R7-A","Red",""
"aurora","R8-A","Red",""
"northern_lights","V1-A","Violet",""
"northern_lights","V2-A","Violet",""
"northern_lights","V3-A","Violet",""
"northern_lights","V4-A","Violet",""
"northern_lights","V5-A","Violet",""
"northern_lights","V6-A","Violet",""
"northern_lights","V7-A","Violet",""
"northern_lights","V8-A","Violet",""
"northern_lights","V9-A","Violet",""
"northern_lights","V10-A","Violet",""
"northern_lights","V11-A","Violet",""
"northern_lights","V12-A","Violet",""
"northern_lights","V13-A","Violet",""
"northern_lights","V14-A","Violet",""
"northern_lights","V15-A","Violet",""
"northern_lights","V16-A","Violet",""
"northern_lights","B1-A","Blue",""
"northern_lights","B2-A","Blue",""
"northern_lights","B3-A","Blue",""
"northern_lights","B4-A","Blue",""
"northern_lights","B5-A","Blue",""
"northern_lights","B6-A","Blue",""
"northern_lights","B7-A","Blue",""
"northern_lights","B8-A","Blue",""
"northern_lights","B9-A","Blue",""
"northern_lights","B10-A","Blue",""
"northern_lights","B11-A","Blue",""
"northern_lights","B12-A","Blue",""
"northern_lights","B13-A","Blue",""
"northern_lights","B14-A","Blue",""
"northern_lights","R1-A","Red",""
"northern_lights","R2-A","Red",""
"northern_lights","R3-A","Red",""
"northern_lights","R4-A","Red",""
"northern_lights","R5-A","Red",""
"northern_lights","R6-A","Red",""
"northern_lights","R7-A","Red",""
"northern_lights","R8-A","Red",""
"id7000","320CH1-A","DeepUV",""
"id7000","320CH2-A","DeepUV",""
"id7000","320CH3-A","DeepUV",""
"id7000","320CH4-A","DeepUV",""
"id7000","320CH5-A","DeepUV",""
"id7000","320CH6-A","DeepUV",""
"id7000","320CH7-A","DeepUV",""
"id7000","320CH8-A","DeepUV",""
"id7000","320CH9-A","DeepUV",""
"id7000","320CH10-A","DeepUV",""
"id7000","320CH11-A","DeepUV",""
"id7000","320CH12-A","DeepUV",""
"id7000","320CH13-A","DeepUV",""
"id7000","320CH14-A","DeepUV",""
"id7000","320CH15-A","DeepUV",""
"id7000","320CH16-A","DeepUV",""
"id7000","320CH17-A","DeepUV",""
"id7000","320CH18-A","DeepUV",""
"id7000","320CH19-A","DeepUV",""
"id7000","320CH20-A","DeepUV",""
"id7000","320CH21-A","DeepUV",""
"id7000","320CH22-A","DeepUV",""
"id7000","320CH23-A","DeepUV",""
"id7000","320CH24-A","DeepUV",""
"id7000","320CH25-A","DeepUV",""
"id7000","320CH26-A","DeepUV",""
"id7000","320CH27-A","DeepUV",""
"id7000","320CH28-A","DeepUV",""
"id7000","320CH29-A","DeepUV",""
"id7000","320CH30-A","DeepUV",""
"id7000","320CH31-A","DeepUV",""
"id7000","320CH32-A","DeepUV",""
"id7000","320CH33-A","DeepUV",""
"id7000","320CH34-A","DeepUV",""
"id7000","320CH35-A","DeepUV",""
"id7000","355CH1-A","UV",""
"id7000","355CH2-A","UV",""
"id7000","355CH3-A","UV",""
"id7000","355CH4-A","UV",""
"id7000","355CH5-A","UV",""
"id7000","355CH6-A","UV",""
"id7000","355CH7-A","UV",""
"id7000","355CH8-A","UV",""
"id7000","355CH9-A","UV",""
"id7000","355CH10-A","UV",""
"id7000","355CH11-A","UV",""
"id7000","355CH12-A","UV",""
"id7000","355CH13-A","UV",""
"id7000","355CH14-A","UV",""
"id7000","355CH15-A","UV",""
"id7000","355CH16-A","UV",""
"id7000","355CH17-A","UV",""
"id7000","355CH18-A","UV",""
"id7000","355CH19-A","UV",""
"id7000","355CH20-A","UV",""
"id7000","355CH21-A","UV",""
"id7000","355CH22-A","UV",""
"id7000","355CH23-A","UV",""
"id7000","355CH24-A","UV",""
"id7000","355CH25-A","UV",""
"id7000","355CH26-A","UV",""
"id7000","355CH27-A","UV",""
"id7000","355CH28-A","UV",""
"id7000","355CH29-A","UV",""
"id7000","355CH30-A","UV",""
"id7000","355CH31-A","UV",""
"id7000","355CH32-A","UV",""
"id7000","355CH33-A","UV",""
"id7000","355CH34-A","UV",""
"id7000","355CH35-A","UV",""
"id7000","405CH1-A","Violet",""
"id7000","405CH2-A","Violet",""
"id7000","405CH3-A","Violet",""
"id7000","405CH4-A","Violet",""
"id7000","405CH5-A","Violet",""
"id7000","405CH6-A","Violet",""
"id7000","405CH7-A","Violet",""
"id7000","405CH8-A","Violet",""
"id7000","405CH9-A","Violet",""
"id7000","405CH10-A","Violet",""
"id7000","405CH11-A","Violet",""
"id7000","405CH12-A","Violet",""
"id7000","405CH13-A","Violet",""
"id7000","405CH14-A","Violet",""
