"fluorophore","UV1 (375)-A","UV2 (390)-A","UV3 (420)-A","UV4 (440)-A","UV5 (460)-A","UV6 (475)-A","UV7 (500)-A","UV8 (515)-A","UV9 (530)-A","UV10 (545)-A","UV11 (575)-A","UV12 (590)-A","UV13 (605)-A","UV14 (625)-A","UV15 (655)-A","UV16 (675)-A","UV17 (700)-A","UV18 (725)-A","UV19 (750)-A","UV20 (780)-A","UV21 (810)-A","UV22 (845)-A","V1 (420)-A","V2 (440)-A","V3 (460)-A","V4 (475)-A","V5 (500)-A","V6 (515)-A","V7 (530)-A","V8 (545)-A","V9 (575)-A","V10 (590)-A","V11 (605)-A","V12 (625)-A","V13 (655)-A","V14 (675)-A","V15 (700)-A","V16 (725)-A","V17 (750)-A","V18 (780)-A","V19 (810)-A","V20 (845)-A","B1 (500)-A","B2 (515)-A","B3 (530)-A","B4 (545)-A","B5 (575)-A","B6 (590)-A","B7 (605)-A","B8 (625)-A","B9 (655)-A","B10 (675)-A","B11 (700)-A","B12 (725)-A","B13 (750)-A","B14 (780)-A","B15 (810)-A","B16 (845)-A","YG1 (575)-A","YG2 (590)-A","YG3 (605)-A","YG4 (625)-A","YG5 (655)-A","YG6 (675)-A","YG7 (700)-A","YG8 (725)-A","YG9 (750)-A","YG10 (780)-A","YG11 (810)-A","YG12 (845)-A","R1 (655)-A","R2 (675)-A","R3 (700)-A","R4 (725)-A","R5 (750)-A","R6 (780)-A","R7 (810)-A","R8 (845)-A"
"Alexa Fluor 488",0.001118,0.001292,0.003866,0.004149,0.002592,0.001402,0.017501,0.045857,0.033616,0.018214,0.009269,0.004718,0.003102,0.001213,0.000939,0.000512,2.13e-05,-3.63e-06,-9.78e-05,0.000102,-5.54e-05,3.41e-05,-0.00014,-0.00105,-0.00156,-0.00099,0.00342,0.011317,0.007932,0.004087,0.002171,0.001022,0.000729,0.000178,4.98e-05,-6.82e-05,-6.73e-05,-3.99e-05,-0.00018,-3e-04,-4.92e-05,7.02e-05,0.37054,1,0.752579,0.51261,0.234254,0.122518,0.079314,0.028111,0.017752,0.009973,0.006811,0.002765,0.001503,0.000711,0.000394,0.000314,0.002164,0.001529,0.001563,0.000874,0.000879,0.000537,0.000477,0.000228,0.000155,-6.75e-05,-1.46e-05,4.25e-05,0.000475,0.000732,0.000363,0.000142,0.000168,0.000246,1.08e-05,-5.12e-05
"Alexa Fluor 647",0.000526,0.000621,0.003468,0.004074,0.003157,0.001486,0.001787,0.001764,0.00112,0.000864,0.000425,0.000445,0.000265,0.000173,0.002374,0.005292,0.003355,0.0013,0.00096,0.000541,0.000166,2.51e-06,0.00033,0.001642,0.002301,0.00153,0.001817,0.00247,0.001706,0.00129,0.001234,0.000855,0.001157,0.000166,0.001444,0.001973,0.001537,0.000714,0.000415,-5.45e-05,-5.79e-05,-0.00019,0.000734,0.00124,0.00123,0.00126,0.00114,0.000957,0.001245,7.08e-05,0.001783,0.00266,0.00159,0.000739,0.000884,0.000201,0.000377,0.000273,0.000113,0.000126,0.000109,0.000224,0.060169,0.099431,0.05985,0.022805,0.016994,0.00665,0.0025,0.001133,0.533489,1,0.581672,0.285297,0.175102,0.0833,0.036,0.0152
"Alexa Fluor 700",0.001351,0.001931,0.007226,0.008971,0.006954,0.003997,0.003972,0.003686,0.002581,0.001959,0.00168,0.001242,0.001148,0.00076,0.00067,0.00276,0.027,0.042441,0.023929,0.013538,0.006228,0.002426,0.000645,0.002247,0.003076,0.002657,0.003373,0.003532,0.002925,0.002204,0.00197,0.001479,0.00144,0.000831,0.000867,0.002555,0.027887,0.04477,0.028582,0.013556,0.006889,0.00275,0.001273,0.002385,0.002765,0.003404,0.003229,0.002669,0.002774,0.001345,0.001579,0.001833,0.008445,0.013404,0.00823,0.00423,0.00225,0.00101,0.001559,0.00162,0.00276,0.001965,0.00264,0.00919,0.097999,0.131,0.0798,0.0399,0.018266,0.00695,0.00339,0.044289,0.602966,1,0.573,0.288,0.147,0.0545
"AmCyan",0.001614,0.003486,0.00276,-0.00355,-0.00542,0.005186,0.016461,0.011675,0.004015,-0.00051,-0.00301,-0.00281,-0.00134,-0.00169,-0.00201,-0.00082,0.000271,-6.97e-06,-5e-04,-7e-04,-0.00026,-0.00057,0.000317,0.004326,0.080859,0.466205,1,0.858727,0.425602,0.277082,0.141818,0.08478,0.053859,0.020861,0.011514,0.006249,0.003078,0.00124,0.000281,-8e-04,-3e-04,0.000431,0.349554,0.305964,0.190917,0.113317,0.04585,0.026491,0.018551,0.005432,0.00352,0.003186,0.000309,0.00089,2.61e-06,0.000297,-0.0014,0.000521,0.002522,0.002835,0.002366,0.003419,0.002269,0.002656,0.003441,-2.02e-05,0.000357,0.001148,0.000215,0.001138,0.004181,0.002596,0.002917,0.002341,0.00194,0.001931,0.000693,0.00116
"APC",0.000748,0.001404,0.005268,0.006871,0.006053,0.003287,0.004068,0.003631,0.003739,0.002896,0.001591,0.001158,0.000843,0.002146,0.050358,0.040698,0.020878,0.012523,0.007196,0.003766,0.001895,0.000923,0.000111,0.001199,0.002266,0.001879,0.00237,0.002994,0.002326,0.000759,0.002434,0.001752,0.001191,0.001465,0.038076,0.028814,0.015263,0.010028,0.007474,0.002737,0.000612,0.000696,0.000648,0.00067,0.000959,0.00125,0.000819,0.001682,0.000873,0.000567,0.007775,0.005428,0.002745,0.001854,0.00092,-8.04e-05,-0.00094,-0.00041,-0.00027,0.000771,0.001835,0.005539,0.2834,0.193543,0.099391,0.060309,0.041054,0.015752,0.007554,0.003357,1,0.81272,0.358166,0.270395,0.155388,0.06787,0.036179,0.016337
"APC-R700",0.000572,0.001041,0.004777,0.006341,0.005286,0.003155,0.003262,0.002997,0.002274,0.001695,0.001392,0.001054,0.000969,0.000592,0.001914,0.005457,0.037365,0.042166,0.020826,0.012177,0.005214,0.002005,0.000703,0.002344,0.003245,0.002659,0.003311,0.003422,0.002696,0.002055,0.00184,0.001464,0.001216,0.000717,0.001599,0.003837,0.026125,0.029343,0.016868,0.008398,0.003761,0.001563,0.000815,0.001469,0.001572,0.00167,0.001522,0.001212,0.001268,0.000597,0.00122,0.002132,0.012403,0.014707,0.007851,0.004104,0.001952,0.000851,0.000332,0.000448,0.000641,0.000574,0.007738,0.024765,0.203226,0.199203,0.108934,0.056148,0.022955,0.008858,0.028449,0.105721,0.818071,1,0.523827,0.270347,0.125234,0.04552
"APC-H7",0.002418,0.004172,0.019288,0.024983,0.02075,0.011911,0.012594,0.011337,0.00883,0.00653,0.005392,0.003944,0.00367,0.002241,0.002804,0.002148,0.001919,0.001379,0.009067,0.042485,0.027504,0.009618,0.002581,0.008978,0.011865,0.009876,0.012395,0.012889,0.009999,0.007693,0.00691,0.005422,0.004819,0.002634,0.003236,0.002405,0.002059,0.001392,0.008728,0.038797,0.026511,0.009966,0.002718,0.004793,0.005306,0.005977,0.005431,0.004704,0.004862,0.00219,0.002912,0.00212,0.002062,0.001205,0.002861,0.00938,0.006248,0.002392,0.001347,0.001608,0.001814,0.001657,0.005222,0.003526,0.003103,0.002872,0.037507,0.172436,0.10397,0.036745,0.014787,0.012283,0.008543,0.013923,0.200438,1,0.695547,0.231244
"APC-Cy7",0.001897,0.003302,0.01479,0.018953,0.015841,0.009066,0.009541,0.00872,0.006689,0.004953,0.004052,0.003036,0.002903,0.001829,0.003366,0.002666,0.002122,0.001835,0.013499,0.045896,0.022081,0.007919,0.001953,0.006762,0.008997,0.007555,0.009429,0.00996,0.007808,0.005977,0.005283,0.004164,0.003788,0.002144,0.00329,0.002511,0.002168,0.001671,0.012923,0.039239,0.020181,0.007591,0.002125,0.003819,0.004255,0.004754,0.004418,0.003815,0.003914,0.001775,0.002702,0.002012,0.001723,0.001097,0.003662,0.009618,0.005088,0.002039,0.001208,0.001324,0.00173,0.00159,0.011227,0.007414,0.005509,0.005523,0.059404,0.18651,0.085249,0.030651,0.03969,0.035609,0.021493,0.029155,0.291633,1,0.544901,0.185749
"APC-Fire 810",0.000285,0.000796,0.002757,0.003802,0.003414,0.002232,0.002042,0.001897,0.001338,0.000692,0.000803,0.000346,0.000322,0.000358,0.003945,0.003672,0.003518,0.001799,0.00184,0.018127,0.0364,0.0167,0.000472,0.000627,0.000784,0.000303,5.33e-05,0.000194,8.87e-05,-5.1e-05,5.3e-05,0.000122,0.000111,-4e-04,0.002982,0.002416,0.002302,0.001402,0.001474,0.0191,0.0425,0.0204,0.000279,0.00034,0.000528,0.000354,0.000542,0.000493,0.000301,0.000364,0.000741,0.000509,0.000286,0.000255,0.000176,0.00277,0.0071,0.0034,0.000155,0.000297,0.000729,0.001554,0.025585,0.018388,0.017172,0.008195,0.010394,0.0685,0.14,0.0661,0.115,0.10023,0.0821,0.05215,0.055214,0.426692,1,0.435372
"BB515",-5.81e-05,-0.00057,-0.00123,-0.00243,-0.00301,-0.00179,0.023893,0.04274,0.026102,0.012997,0.005404,0.002791,0.001604,0.000324,0.000109,-2e-04,-0.00016,-0.00042,-0.00011,-5.18e-06,0.000206,0.000116,-0.00037,-0.00015,-4.79e-05,-0.00046,0.004202,0.008818,0.004288,0.002439,0.000778,0.000359,-0.00014,-0.00063,-0.00064,-0.00061,-0.00028,-3e-04,-0.00052,-0.00032,3.63e-06,-0.00026,0.546,1,0.609555,0.349,0.147173,0.0766,0.054234,0.0179,0.01089,0.00572,0.00392,0.00155,0.000491,0.000328,6e-05,1.46e-05,0.000163,-0.00023,0.000173,-0.00035,6.7e-05,-0.00016,-4.19e-05,-0.00015,-2e-04,-0.00014,-0.00023,-0.00013,3.85e-05,7.48e-05,-0.00048,-0.00018,-6.76e-05,0.000282,0.000212,0.000133
