"fluorophore","cytometer","channel"
"7-AAD","aurora","YG-4"
"Alexa Fluor 350","aurora","UV6-A"
"Alexa Fluor 405","aurora","V2-A"
"Alexa Fluor 488","aurora","B2-A"
"Alexa Fluor 514","aurora","B3-A"
"Alexa Fluor 532","aurora","B3-A"
"Alexa Fluor 555","aurora","YG1-A"
"Alexa Fluor 568","aurora","YG3-A"
"Alexa Fluor 594","aurora","YG3-A"
"Alexa Fluor 610","aurora","YG3-A"
"Alexa Fluor 633","aurora","R1-A"
"Alexa Fluor 647","aurora","R2-A"
"Alexa Fluor 660","aurora","R3-A"
"Alexa Fluor 680","aurora","R4-A"
"Alexa Fluor 700","aurora","R4-A"
"Alexa Fluor 790","aurora","R8-A"
"AmCyan","aurora","V5-A"
"APC","aurora","R1-A"
"APC-Cy5.5","aurora","R3-A"
"APC-Cy7","aurora","R7-A"
"APC-eFluor 780","aurora","R7-A"
"APC-Fire 750","aurora","R7-A"
"APC-Fire 810","aurora","R8-A"
"APC-H7","aurora","R7-A"
"APC-R700","aurora","R4-A"
"APC-Vio750","aurora","R7-A"
"APC-Vio770","aurora","R7-A"
"BB515","aurora","B1-A"
"BB630","aurora","B6-A"
"BB660","aurora","B7-A"
"BB700","aurora","B9-A"
"BB755","aurora","B12-A"
"BB790","aurora","B14-A"
"BrDU FITC","aurora","B2-A"
"BUV395","aurora","UV2-A"
"BUV496","aurora","UV7-A"
"BUV563","aurora","UV9-A"
"BUV615","aurora","UV10-A"
"BUV661","aurora","UV11-A"
"BUV737","aurora","UV14-A"
"BUV805","aurora","UV16-A"
"BV421","aurora","V1-A"
"BV480","aurora","V5-A"
"BV510","aurora","V7-A"
"BV570","aurora","V8-A"
"BV570-T","aurora","V8-A"
"BV605","aurora","V10-A"
"BV650","aurora","V11-A"
"BV711","aurora","V13-A"
"BV750","aurora","V14-A"
"BV785","aurora","V15-A"
"BV786","aurora","V15-A"
"CellTrace Blue","aurora","UV7-A"
"CellTrace Calcein AM","aurora","B2-A"
"CellTrace Calcein Blue","aurora","UV6-A"
"CellTrace CFSE","aurora","B2-A"
"CellTrace Far Red","aurora","R2-A"
"CellTrace Oregon Green","aurora","B2-A"
"CellTrace Red","aurora","YG3-A"
"CellTrace Violet","aurora","V3-A"
"CellTrace Yellow","aurora","B3-A"
"CF350","aurora","UV6-A"
"CF405L","aurora","V8-A"
"CF405M","aurora","V3-A"
"CF405S","aurora","V2-A"
"CF430","aurora","V5-A"
"CF440","aurora","V7-A"
"CF450","aurora","B1-A"
"CF488A","aurora","B1-A"
"CF503R","aurora","B2-A"
"CF514","aurora","B3-A"
"CF532","aurora","B3-A"
"CF543","aurora","YG1-A"
"CF550R","aurora","YG1-A"
"CF555","aurora","YG1-A"
"CF568","aurora","YG1-A"
"CF570","aurora","YG1-A"
"CF583","aurora","YG2-A"
"CF594","aurora","YG3-A"
"CF620R","aurora","R1-A"
"CF633","aurora","R1-A"
"CF640R","aurora","R2-A"
"CF647","aurora","R2-A"
"CF660C","aurora","R3-A"
"CF660R","aurora","R3-A"
"CF680","aurora","R4-A"
"CF680R","aurora","R4-A"
"CF700","aurora","R4-A"
"CF710","aurora","R5-A"
"CF725","aurora","R6-A"
"CF740","aurora","R7-A"
"CF750","aurora","R7-A"
"CF770","aurora","R8-A"
"CF790","aurora","R8-A"
"CF800","aurora","V16-A"
"BYG750","aurora","YG8-A"
"cFluor B513","aurora","B2-A"
"cFluor B532","aurora","B2-A"
"cFluor B548","aurora","B3-A"
"cFluor B610","aurora","B6-A"
"cFluor B660","aurora","B7-A"
"cFluor B710","aurora","B10-A"
"cFluor B760","aurora","B13-A"
"cFluor R659","aurora","R1-A"
"cFluor R685","aurora","R3-A"
"cFluor R720","aurora","R4-A"
"cFluor R775","aurora","R7-A"
"cFluor R840","aurora","R8-A"
"cFluor UV450","aurora","UV6-A"
"cFluor UV610","aurora","UV10-A"
"cFluor V450","aurora","V3-A"
"cFluor V500","aurora","V7-A"
"cFluor V610","aurora","V10-A"
"cFluor V650","aurora","V11-A"
"cFluor V710","aurora","V13-A"
"cFluor V785","aurora","V15-A"
"cFluor YG580","aurora","YG1-A"
"cFluor YG610","aurora","YG3-A"
"cFluor YG667","aurora","YG5-A"
"cFluor YG720","aurora","YG7-A"
"cFluor YG780","aurora","YG9-A"
"Cy3","aurora","YG2-A"
"Cy5","aurora","R1-A"
"Cy5.5","aurora","R3-A"
"Cy7","aurora","R8-A"
"DAPI","aurora","V3-A"
"DRAQ5","aurora","R2-A"
"DRAQ7","aurora","R2-A"
"DyLight 680","aurora","R4-A"
"DyLight 800","aurora","R8-A"
"EBFP","aurora","V3-A"
"ECFP","aurora","B1-A"
"EdU Alexa 488","aurora","B2-A"
"EdU Alexa 647","aurora","R2-A"
"eFluor 450","aurora","V3-A"
"eFluor 506","aurora","V7-A"
"eFluor 660","aurora","R2-A"
"eFluor 780","aurora","R7-A"
"EYFP","aurora","B3-A"
"FITC","aurora","B2-A"
"Fixable Viability Dye eFluor 450","aurora","V3-A"
"Fixable Viability Dye eFluor 506","aurora","V7-A"
"Fixable Viability Dye eFluor 520","aurora","B2-A"
"FVS450","aurora","V3-A"
"FVS575V","aurora","V8-A"
"FVS620","aurora","V10-A"
"FVS660","aurora","V11-A"
"FVS780","aurora","R7-A"
"GFP","aurora","B1-A"
"Hoechst","aurora","UV7-A"
"iRFP670","aurora","R2-A"
"iRFP720","aurora","R4-A"
"Keima","aurora","YG3-A"
"KIRAVIA Blue 520","aurora","B2-A"
"Live-Dead Blue","aurora","UV6-A"
"LIVE/DEAD Aqua","aurora","V5-A"
"LIVE/DEAD Blue","aurora","UV6-A"
"LIVE/DEAD Fixable Near-IR","aurora","R7-A"
"mCherry","aurora","YG3-A"
"mCitrine","aurora","B3-A"
"mFluor Vio610","aurora","V10-A"
"miRFP670","aurora","R2-A"
"miRFP703","aurora","R4-A"
"mKate2","aurora","R1-A"
"mNeonGreen","aurora","B2-A"
"mOrange","aurora","YG2-A"
"mPlum","aurora","R3-A"
"mRuby","aurora","YG3-A"
"mScarlet","aurora","YG4-A"
"mTagBFP2","aurora","V3-A"
"NovaFluor Blue 510","aurora","B1-A"
"NovaFluor Blue 530","aurora","B2-A"
"NovaFluor Blue 555","aurora","B3-A"
"NovaFluor Blue 585","aurora","B4-A"
"NovaFluor Blue 610-30S","aurora","B6-A"
"NovaFluor Blue 610-70S","aurora","B6-A"
"NovaFluor Blue 660-120S","aurora","B7-A"
"NovaFluor Blue 660-40S","aurora","B7-A"
"NovaFluor Blue 690","aurora","B9-A"
"NovaFluor Blue 725","aurora","B10-A"
"NovaFluor Blue 760","aurora","B13-A"
"NovaFluor Blue 800","aurora","B14-A"
"NovaFluor Red 660","aurora","R2-A"
"NovaFluor Red 685","aurora","R3-A"
"NovaFluor Red 700","aurora","R4-A"
"NovaFluor Red 710","aurora","R4-A"
"NovaFluor Red 725","aurora","R5-A"
"NovaFluor Red 755","aurora","R7-A"
"NovaFluor UV 765","aurora","UV15-A"
"NovaFluor Violet 690","aurora","V12-A"
"NovaFluor Violet 745","aurora","V14-A"
"NovaFluor Violet 800","aurora","V16-A"
"NovaFluor Yellow 570","aurora","YG1-A"
"NovaFluor Yellow 590","aurora","YG2-A"
"NovaFluor Yellow 610","aurora","YG3-A"
"NovaFluor Yellow 660","aurora","YG4-A"
"NovaFluor Yellow 690","aurora","YG6-A"
"NovaFluor Yellow 700","aurora","YG7-A"
"NovaFluor Yellow 730","aurora","YG7-A"
"NovaFluor Yellow 755","aurora","YG9-A"
"NovaFluor Yellow 810","aurora","YG10-A"
"Pacific Blue","aurora","V3-A"
"Pacific Orange","aurora","V8-A"
"PE","aurora","YG1-A"
"PE-Alexa Fluor 610","aurora","YG3-A"
"PE-Alexa Fluor 700","aurora","YG7-A"
"PE-CF594","aurora","YG3-A"
"PE-Cy5","aurora","YG5-A"
"PE-Cy5.5","aurora","YG7-A"
"PE-Cy7","aurora","YG9-A"
"PE-Dazzle 594","aurora","YG3-A"
"PE-eFluor 610","aurora","YG3-A"
"PE-Fire 640","aurora","YG4-A"
"PE-Fire 700","aurora","YG7-A"
"PE-Fire 744","aurora","YG8-A"
"PE-Fire 810","aurora","YG10-A"
"PE-Texas Red","aurora","YG3-A"
"PE-Vio615","aurora","YG3-A"
"PE-Vio770","aurora","YG9-A"
"PerCP","aurora","B8-A"
"PerCP-Cy5.5","aurora","B9-A"
"PerCP-eFluor 710","aurora","B10-A"
"PerCP-Fire 780","aurora","B14-A"
"PerCP-Fire 806","aurora","B14-A"
"Propidium Iodide","aurora","YG4-A"
"Qdot 525","aurora","V7-A"
"Qdot 545","aurora","V8-A"
"Qdot 565","aurora","V8-A"
"Qdot 585","aurora","V9-A"
"Qdot 605","aurora","V10-A"
"Qdot 625","aurora","V10-A"
"Qdot 655","aurora","V11-A"
"Qdot 705","aurora","V13-A"
"Qdot 800","aurora","V15-A"
"R718","aurora","R4-A"
"RB545","aurora","B3-A"
"RB613","aurora","B6-A"
"RB670","aurora","B8-A"
"RB705","aurora","B10-A"
"RB744","aurora","B12-A"
"RB780","aurora","B14-A"
"RFP","aurora","YG1-A"
"RR688","aurora","R3-A"
"RY586","aurora","YG1-A"
"RY610","aurora","YG3-A"
"RY655","aurora","YG4-A"
"RY703","aurora","YG7-A"
"RY743","aurora","YG8-A"
"RY775","aurora","YG9-A"
"SBB580","aurora","B4-A"
"SBB615","aurora","B6-A"
"SBB675","aurora","B8-A"
"SBB700","aurora","B9-A"
"SBB765","aurora","B12-A"
"SBB810","aurora","B14-A"
"SBR670","aurora","R2-A"
"SBR715","aurora","R4-A"
"SBR775","aurora","R7-A"
"SBR815","aurora","R8-A"
"SBUV400","aurora","UV2-A"
"SBUV445","aurora","UV6-A"
"SBUV510","aurora","UV7-A"
"SBUV540","aurora","UV8-A"
"SBUV575","aurora","UV9-A"
"SBUV605","aurora","UV10-A"
"SBUV665","aurora","UV11-A"
"SBUV700","aurora","UV13-A"
"SBUV740","aurora","UV14-A"
"SBUV770","aurora","UV15-A"
"SBUV795","aurora","UV16-A"
"SBV440","aurora","V2-A"
"SBV475","aurora","V4-A"
"SBV515","aurora","V5-A"
"SBV535","aurora","V7-A"
"SBV570","aurora","V8-A"
"SBV610","aurora","V10-A"
"SBV670","aurora","V11-A"
"SBV710","aurora","V13-A"
"SBV760","aurora","V14-A"
"SBV790","aurora","V15-A"
"SBY575","aurora","YG1-A"
"SBY605","aurora","YG3-A"
"SBY665","aurora","YG5-A"
"SBY720","aurora","YG7-A"
"SBY800","aurora","YG9-A"
"Spark Blue 515","aurora","B1-A"
"Spark Blue 550","aurora","B3-A"
"Spark Blue 574","aurora","B4-A"
"Spark NIR 685","aurora","R3-A"
"Spark PLUS B550","aurora","B3-A"
"Spark PLUS Blue 574","aurora","B4-A"
"Spark PLUS UV 395","aurora","UV2-A"
"Spark PLUS V475","aurora","V5-A"
"Spark Red 718","aurora","R4-A"
"Spark UV 387","aurora","UV1-A"
"Spark UV 395","aurora","UV2-A"
"Spark Violet 423","aurora","V2-A"
"Spark Violet 500","aurora","V5-A"
"Spark Violet 538","aurora","V8-A"
"Spark YG 570","aurora","YG1-A"
"Spark YG 581","aurora","YG1-A"
"Spark YG 593","aurora","YG2-A"
"Super Bright 436","aurora","V2-A"
"Super Bright 600","aurora","V10-A"
"Super Bright 645","aurora","V11-A"
"Super Bright 702","aurora","V13-A"
"Super Bright 780","aurora","V15-A"
"SYTO 9","aurora","B2-A"
"SYTOX Blue","aurora","V3-A"
"SYTOX Green","aurora","B2-A"
"SYTOX Orange","aurora","YG1-A"
"SYTOX Red","aurora","R1-A"
"tdTomato","aurora","YG2-A"
"Texas Red","aurora","R1-A"
"TRITC","aurora","YG2-A"
"Turquoise","aurora","B1-A"
"V450","aurora","V3-A"
"V500","aurora","V7-A"
"V547","aurora","V8-A"
"ViaKrome 808","aurora","R6-A"
"VioBright B515","aurora","B1-A"
"VioBright FITC","aurora","B2-A"
"VioBright V600","aurora","V10-A"
"YFP","aurora","B3-A"
"Zombie Aqua","aurora","V5-A"
"Zombie Green","aurora","B2-A"
"Zombie NIR","aurora","R7-A"
"Zombie Red","aurora","R1-A"
"Zombie UV","aurora","UV6-A"
"Zombie Violet","aurora","V3-A"
"Zombie Yellow","aurora","YG1-A"
"Ghost Red 710","aurora","R4-A"
"Alexa Fluor 546","aurora","YG1-A"
"7-AAD","northern_lights","B7-A"
"Alexa Fluor 350","northern_lights","V2-A"
"Alexa Fluor 405","northern_lights","V2-A"
"Alexa Fluor 488","northern_lights","B2-A"
"Alexa Fluor 514","northern_lights","B3-A"
"Alexa Fluor 532","northern_lights","B3-A"
"Alexa Fluor 555","northern_lights","B4-A"
