fluorophore,aliases,channel_aurora
FITC,FITC,B2-A;B2
BB515,BB515;BRILLIANT BLUE 515;BRILLIANTBLUE515,B2-A;B2
Alexa Fluor 350,ALEXA FLUOR 350;ALEXAFLUOR350;ALEXA350;AF350,
Alexa Fluor 405,ALEXA FLUOR 405;ALEXAFLUOR405;ALEXA405;AF405,
Alexa Fluor 430,ALEXA FLUOR 430;ALEXAFLUOR430;ALEXA430;AF430,
Alexa Fluor 488,ALEXA FLUOR 488;ALEXAFLUOR488;ALEXA488;AF488,B2-A;B2
Alexa Fluor 514,ALEXA FLUOR 514;ALEXAFLUOR514;ALEXA514;AF514,
Alexa Fluor 532,ALEXA FLUOR 532;ALEXAFLUOR532;ALEXA532;AF532,
Alexa Fluor 546,ALEXA FLUOR 546;ALEXAFLUOR546;ALEXA546;AF546,
Alexa Fluor 555,ALEXA FLUOR 555;ALEXAFLUOR555;ALEXA555;AF555,
Alexa Fluor 568,ALEXA FLUOR 568;ALEXAFLUOR568;ALEXA568;AF568,
Alexa Fluor 594,ALEXA FLUOR 594;ALEXAFLUOR594;ALEXA594;AF594,YG3-A;YG3
Alexa Fluor 610,ALEXA FLUOR 610;ALEXAFLUOR610;ALEXA610;AF610,
Alexa Fluor 633,ALEXA FLUOR 633;ALEXAFLUOR633;ALEXA633;AF633,
Alexa Fluor 647,ALEXA FLUOR 647;ALEXAFLUOR647;ALEXA647;AF647,R2-A;R2
Alexa Fluor 660,ALEXA FLUOR 660;ALEXAFLUOR660;ALEXA660;AF660,
Alexa Fluor 680,ALEXA FLUOR 680;ALEXAFLUOR680;ALEXA680;AF680,
Alexa Fluor 700,ALEXA FLUOR 700;ALEXAFLUOR700;ALEXA700;AF700,R4-A;R4
Alexa Fluor 750,ALEXA FLUOR 750;ALEXAFLUOR750;ALEXA750;AF750,
Alexa Fluor 790,ALEXA FLUOR 790;ALEXAFLUOR790;ALEXA790;AF790,
PE,PE,YG1-A;YG1
PE-CF594,PE-CF594;PECF594,YG3-A;YG3
PE-Dazzle 594,PE-DAZZLE 594;PEDAZZLE594,YG3-A;YG3
PE-Fire 640,PE-FIRE 640;PEFIRE640,YG5-A;YG5
PE-Fire 700,PE-FIRE 700;PEFIRE700,YG7-A;YG7
PE-Fire 810,PE-FIRE 810;PEFIRE810,YG9-A;YG9
PE-Cy5,PE-CY5;PECY5,YG5-A;YG5
PE-Cy5.5,PE-CY5.5;PECY55,YG7-A;YG7
PE-Cy7,PE-CY7;PECY7,YG9-A;YG9
APC,APC,R1-A;R1
APC-R700,APC-R700;APCR700,R4-A;R4
APC-Cy7,APC-CY7;APCCY7,R7-A;R7
APC-H7,APC-H7;APCH7,R7-A;R7
APC-Fire 750,APC-FIRE 750;APCFIRE750,R7-A;R7
APC-Fire 810,APC-FIRE 810;APCFIRE810,R7-A;R7
PerCP,PERCP,B8-A;B8
PerCP-Cy5.5,PERCP-CY5.5;PERCPCY55,B9-A;B9
BB700,BB700;BRILLIANT BLUE 700;BRILLIANTBLUE700,B9-A;B9
BV421,BV421,V1-A;V1
BV480,BV480,V5-A;V5
BV510,BV510,V7-A;V7
BV570,BV570,V8-A;V8
BV605,BV605,V10-A;V10
BV650,BV650,V11-A;V11
BV661,BV661,
BV711,BV711,V13-A;V13
BV737,BV737,
BV750,BV750,V14-A;V14
BV785,BV785,V15-A;V15
BUV395,BUV395,UV2-A;UV2
BUV496,BUV496,UV7-A;UV7
BUV563,BUV563,UV9-A;UV9
BUV615,BUV615,UV10-A;UV10
BUV661,BUV661,UV11-A;UV11
BUV737,BUV737,UV14-A;UV14
BUV805,BUV805,UV16-A;UV16
RB545,RB545;REALBLUE545,
RB613,RB613;REALBLUE613,
RB667,RB667;REALBLUE667,
RB705,RB705;REALBLUE705,
RB744,RB744;REALBLUE744,
RB780,RB780;REALBLUE780,
Spark Blue 550,SPARK BLUE 550;SPARKBLUE550,
Spark NIR 685,SPARK NIR 685;SPARKNIR685,
Super Bright 436,SUPER BRIGHT 436;SUPERBRIGHT436;SB436,
Super Bright 600,SUPER BRIGHT 600;SUPERBRIGHT600;SB600,
Super Bright 645,SUPER BRIGHT 645;SUPERBRIGHT645;SB645,
Super Bright 702,SUPER BRIGHT 702;SUPERBRIGHT702;SB702,
Super Bright 780,SUPER BRIGHT 780;SUPERBRIGHT780;SB780,
LIVE/DEAD NIR,LIVE/DEAD NIR;LIVE DEAD NIR;LIVEDEADNIR;LIVE/DEAD FIXABLE NEAR-IR;LIVE DEAD FIXABLE NEAR IR;FIXABLE VIABILITY NIR;FIXABLEVIABILITYNIR,
LIVE/DEAD Aqua,LIVE/DEAD AQUA;LIVE DEAD AQUA;LIVEDEADAQUA;LIVE/DEAD FIXABLE AQUA;LIVE DEAD FIXABLE AQUA,
LIVE/DEAD Violet,LIVE/DEAD VIOLET;LIVE DEAD VIOLET;LIVEDEADVIOLET;LIVE/DEAD FIXABLE VIOLET;LIVE DEAD FIXABLE VIOLET,
LIVE/DEAD Yellow,LIVE/DEAD YELLOW;LIVE DEAD YELLOW;LIVEDEADYELLOW;LIVE/DEAD FIXABLE YELLOW;LIVE DEAD FIXABLE YELLOW,
LIVE/DEAD Green,LIVE/DEAD GREEN;LIVE DEAD GREEN;LIVEDEADGREEN;LIVE/DEAD FIXABLE GREEN;LIVE DEAD FIXABLE GREEN,
LIVE/DEAD Blue,LIVE/DEAD BLUE;LIVE DEAD BLUE;LIVEDEADBLUE;LIVE/DEAD FIXABLE BLUE;LIVE DEAD FIXABLE BLUE,
LIVE/DEAD Red,LIVE/DEAD RED;LIVE DEAD RED;LIVEDEADRED;LIVE/DEAD FIXABLE RED;LIVE DEAD FIXABLE RED,
LIVE/DEAD Far Red,LIVE/DEAD FAR RED;LIVE DEAD FAR RED;LIVEDEADFARRED;LIVE/DEAD FIXABLE FAR RED;LIVE DEAD FIXABLE FAR RED,
FVD450,FVD450;FVD 450;FIXABLE VIABILITY DYE 450,
FVD506,FVD506;FVD 506;FIXABLE VIABILITY DYE 506,
FVD520,FVD520;FVD 520;FIXABLE VIABILITY DYE 520,
FVD780,FVD780;FVD 780;FIXABLE VIABILITY DYE 780,
Zombie NIR,ZOMBIE NIR;ZOMBIENIR,
Zombie Aqua,ZOMBIE AQUA;ZOMBIEAQUA,
Zombie Violet,ZOMBIE VIOLET;ZOMBIEVIOLET,
Zombie UV,ZOMBIE UV;ZOMBIEUV,
Zombie Green,ZOMBIE GREEN;ZOMBIEGREEN,
Zombie Yellow,ZOMBIE YELLOW;ZOMBIEYELLOW,
Zombie Red,ZOMBIE RED;ZOMBIERED,
