"fluorophore","320CH1-A","320CH2-A","320CH3-A","320CH4-A","320CH5-A","320CH6-A","320CH7-A","320CH8-A","320CH9-A","320CH10-A","320CH11-A","320CH12-A","320CH13-A","320CH14-A","320CH15-A","320CH16-A","320CH17-A","320CH18-A","320CH19-A","320CH20-A","320CH21-A","320CH22-A","320CH23-A","320CH24-A","320CH25-A","320CH26-A","320CH27-A","320CH28-A","320CH29-A","320CH30-A","320CH31-A","320CH32-A","320CH33-A","320CH34-A","320CH35-A","355CH1-A","355CH2-A","355CH3-A","355CH4-A","355CH5-A","355CH6-A","355CH7-A","355CH8-A","355CH9-A","355CH10-A","355CH11-A","355CH12-A","355CH13-A","355CH14-A","355CH15-A","355CH16-A","355CH17-A","355CH18-A","355CH19-A","355CH20-A","355CH21-A","355CH22-A","355CH23-A","355CH24-A","355CH25-A","355CH26-A","355CH27-A","355CH28-A","355CH29-A","355CH30-A","355CH31-A","355CH32-A","355CH33-A","355CH34-A","355CH35-A","405CH1-A","405CH2-A","405CH3-A","405CH4-A","405CH5-A","405CH6-A","405CH7-A","405CH8-A","405CH9-A","405CH10-A","405CH11-A","405CH12-A","405CH13-A","405CH14-A","405CH15-A","405CH16-A","405CH17-A","405CH18-A","405CH19-A","405CH20-A","405CH21-A","405CH22-A","405CH23-A","405CH24-A","405CH25-A","405CH26-A","405CH27-A","405CH28-A","405CH29-A","405CH30-A","405CH31-A","405CH32-A","405CH33-A","405CH34-A","405CH35-A","488CH4-A","488CH5-A","488CH6-A","488CH7-A","488CH8-A","488CH9-A","488CH10-A","488CH11-A","488CH12-A","488CH13-A","488CH14-A","488CH15-A","488CH16-A","488CH17-A","488CH18-A","488CH19-A","488CH20-A","488CH21-A","488CH22-A","488CH23-A","488CH24-A","488CH25-A","488CH26-A","488CH27-A","488CH28-A","488CH29-A","488CH30-A","488CH31-A","488CH32-A","488CH33-A","488CH34-A","488CH35-A","561CH10-A","561CH11-A","561CH12-A","561CH13-A","561CH14-A","561CH15-A","561CH16-A","561CH17-A","561CH18-A","561CH19-A","561CH20-A","561CH21-A","561CH22-A","561CH23-A","561CH24-A","561CH25-A","561CH26-A","561CH27-A","561CH28-A","561CH29-A","561CH30-A","561CH31-A","561CH32-A","561CH33-A","561CH34-A","561CH35-A","637CH17-A","637CH18-A","637CH19-A","637CH20-A","637CH21-A","637CH22-A","637CH23-A","637CH24-A","637CH25-A","637CH26-A","637CH27-A","637CH28-A","637CH29-A","637CH30-A","637CH31-A","637CH32-A","637CH33-A","637CH34-A","637CH35-A"
"Alexa Fluor 488",0.001028,0.000332,0.000151,0.005776,0.009612,0.011613,0.008834,0.004686,0.000486,0.000886,0.00146,0.001227,0.000622,0.000485,0.000163,0.000222,0.000125,0.000208,0.000252,0.000226,3e-04,0.000164,0.000139,0.000181,0.00018,0.000301,0.000265,0.000482,0.000172,0.000256,0.000188,0.000344,0.00015,0.000322,9.01e-05,0.000388,0.000248,0.000238,0.00466,0.008769,0.01128,0.008861,0.004083,0.000813,0.001031,0.001411,0.000976,0.000567,0.000402,0.000125,0.000123,0.000122,0.000119,0.000285,0.000215,0.000107,7.69e-05,2.43e-05,0.000393,0.00017,0.000387,0.000344,0.000218,-3.05e-05,0.000103,0.000105,0.000187,0.000139,6.21e-05,8.34e-06,0.000212,5.84e-05,5.95e-05,0.014,0.023866,0.0287,0.02069,0.0125,0.00155,0.00191,0.00459,0.00284,0.00202,0.00104,0.00064,0.000306,0.000507,0.000232,0.000572,6.87e-05,0.000106,-0.00031,6.03e-05,0.00032,0.000319,0.00056,0.000721,0.000289,-0.00022,0.000276,0.00032,-0.00024,0.000255,-0.00023,7.45e-05,0.53,0.788,1,0.847,0.495,0.1,0.0503,0.135,0.0943,0.0563,0.0364,0.015,0.00129,0.00557,0.00712,0.00519,0.00383,0.00261,0.00163,0.00174,0.00492,0.0111,0.0127,0.013,0.00796,0.00362,0.00166,0.00102,0.00112,0.000879,0.000519,0.000421,0.000274,0.000148,6.17e-05,6.45e-05,-3.69e-05,9.24e-05,-0.00014,0.000186,-5.45e-05,0.000117,-3.58e-05,-0.00013,0.000115,7e-05,-0.00012,9.18e-05,-3.89e-05,-0.00011,-9.73e-05,0.000113,2.82e-05,3.68e-05,-4.11e-05,1.87e-05,-3.92e-05,2.17e-05,0.000203,0.000135,7.6e-05,9.66e-05,-1.42e-05,-8e-05,0.000101,9.06e-05,0.000111,-6.24e-05,6.5e-05,2.28e-05,1.6e-05,0.000134,-2.66e-05,0.000314,0.000143,1.54e-05,-3.47e-05
"Alexa Fluor 647",0.001134,-0.00032,0.000177,0.000818,-0.00077,0.000105,-8.42e-05,0.000179,-0.00027,7.81e-05,0.000143,0.000514,0.000539,7.75e-05,0.000145,0.000169,0.001894,0.004219,0.005137,0.004789,0.003382,0.002438,0.00185,0.002018,0.001938,0.00096,0.000995,0.000383,0.000852,0.000921,0.000651,0.000568,0.000654,0.000458,0.000336,-0.00025,4.25e-05,0.000263,0.000606,0.00057,0.000403,0.000949,0.000299,0.000421,0.000303,-6.57e-05,2.06e-05,4.96e-06,0.000269,0.000445,0.000878,0.002154,0.004518,0.006718,0.003824,0.002496,0.002426,0.001632,0.001739,0.001031,0.000822,0.00108,0.000869,0.001008,0.000585,0.000548,0.00102,0.000689,0.000718,0.000325,-0.00076,-0.00066,0.000182,0.003585,0.001359,0.000269,0.000395,0.000852,-1e-04,-0.00063,-0.00054,7.35e-05,-0.00066,-0.00048,-0.00149,0.000247,0.002055,0.009903,0.008424,0.007983,0.005797,0.00632,0.002943,0.003893,0.002623,0.002695,0.001152,0.00125,0.00109,0.000369,0.001308,0.000272,-0.00098,-0.00062,-0.00023,-0.00208,4.4e-05,-5.25e-05,-0.00049,-5.75e-05,-2.93e-05,0.000171,-0.00182,0.000589,-0.00068,-0.00015,-0.00029,7.08e-05,0.001437,0.005671,0.007263,0.007727,0.0043,0.00278,0.00201,0.001482,0.001537,0.001373,0.000705,0.000632,0.000447,6.58e-05,-4.36e-05,2.07e-05,-7.46e-05,7.06e-05,0.000329,0.00201,0.000319,-0.00014,0.000581,0.001404,0.00122,0.01,0.097,0.235,0.264399,0.208,0.145145,0.0948,0.0765,0.0603,0.0563,0.0422,0.0321,0.0233,0.0155,0.0111,0.00847,0.00648,0.00488,0.00432,0.00224,0.467,0.793,1,0.812,0.51,0.337,0.274,0.232,0.205,0.159,0.118,0.0784,0.0565,0.0393,0.0339,0.026765,0.0219,0.0172,0.0301
"Alexa Fluor 700",-0.00223,0.000555,0.000777,0.004312,0.002859,0.000817,0.00259,0.001106,0.000243,0.000555,0.002378,0.002268,0.002669,0.000567,0.000155,0.000143,0.001025,0.00071,0.002107,0.010439,0.026962,0.061609,0.085357,0.082574,0.056372,0.030924,0.018874,0.013636,0.007566,0.001525,0.001009,0.000504,0.000242,0.000177,8.49e-05,-0.00307,-0.00061,0.000193,0.001237,0.000673,0.000678,0.000603,0.000284,-4.07e-05,-2.95e-06,0.000469,3e-04,0.000282,0.000265,3.65e-05,6.76e-05,0.000121,0.000541,0.001374,0.004682,0.012448,0.028515,0.042219,0.045152,0.033823,0.022203,0.014354,0.011146,0.008332,0.006986,0.005933,0.004936,0.003,0.00181,0.000906,-0.00264,-0.00178,-0.00041,0.003301,0.002477,0.004467,0.003337,0.001396,0.000308,0.000109,0.002011,0.001091,0.001811,0.001584,0.000911,0.000438,0.001534,0.003327,0.010737,0.038151,0.114861,0.229904,0.331762,0.311731,0.220218,0.14437,0.091309,0.066596,0.054395,0.044397,0.036377,0.029386,0.019006,0.010412,0.005801,0.000697,0.001287,0.00125,0.00128,0.000815,0.000171,0.00023,0.001133,0.000565,0.000511,0.000822,0.000363,1.27e-05,0.000313,0.000374,0.001118,0.003671,0.010281,0.02121,0.029156,0.029976,0.02295,0.014557,0.00929,0.006522,0.005185,0.00278,0.002853,0.001944,0.00106,0.000482,0.000349,0.001509,0.00156,0.004169,0.008461,0.009687,0.003631,0.000129,0.002898,0.006723,0.015808,0.051255,0.147042,0.290867,0.434719,0.402263,0.313466,0.200493,0.129945,0.095995,0.079875,0.060837,0.049073,0.037325,0.026509,0.01635,0.00891,0.0045,0.00779,0.0296,0.102,0.308,0.631,1,0.987,0.785,0.502,0.344,0.246,0.2,0.172,0.151,0.124,0.0888,0.0582,0.0448
"APC",-0.00113,-0.00023,0.000137,0.000711,5.77e-05,-3.96e-05,-5.03e-05,-3.33e-05,-1.11e-06,0.000151,-0.00012,-9.86e-05,0.000328,0.000804,0.000491,0.003308,0.035114,0.057209,0.035359,0.02132,0.013238,0.010693,0.010177,0.00994,0.007328,0.004577,0.002942,0.001806,0.000457,0.00013,4.96e-05,6.39e-05,3.12e-05,8.57e-06,1.63e-05,-0.00063,-0.00019,-8.52e-05,-0.00014,3.77e-05,-5.6e-05,-1.08e-05,-2.69e-05,-1.42e-05,1.11e-05,-2.24e-05,-3.15e-06,0.000161,0.000565,0.000589,0.002601,0.030739,0.050519,0.039631,0.02112,0.011973,0.009829,0.009255,0.009657,0.008519,0.006365,0.003831,0.002687,0.001851,0.001486,0.001276,0.001036,0.000706,0.000535,0.000315,-0.00071,-0.00075,-0.00035,-0.00041,-9.98e-05,2.61e-05,3.85e-05,0.000156,6.48e-05,0.000269,0.000442,0.000601,0.000888,0.004268,0.003255,0.017698,0.172105,0.253101,0.162687,0.084535,0.055769,0.044354,0.043897,0.042016,0.034539,0.023929,0.014284,0.009659,0.007068,0.005531,0.004381,0.003828,0.002953,0.001938,0.001019,-0.00011,-8.12e-05,-6.61e-05,-3.38e-05,-1.62e-05,2e-05,1.88e-05,-3.83e-05,0.000144,0.000118,0.000331,0.000292,0.000764,0.010939,0.018513,0.013409,0.007474,0.004468,0.003378,0.003028,0.003091,0.002711,0.001881,0.001103,0.000638,0.00042,0.000161,0.00018,0.000143,9.17e-05,6.94e-05,4.04e-05,0.001085,0.000688,0.000944,0.003389,0.011659,0.011209,0.037245,0.376455,0.710982,0.477708,0.258089,0.168932,0.128454,0.130649,0.120304,0.109455,0.077662,0.048517,0.032367,0.024106,0.01745,0.014157,0.011637,0.010036,0.006893,0.005539,0.789401,1,0.735277,0.358938,0.226016,0.173003,0.179029,0.175619,0.163191,0.115752,0.076943,0.049619,0.0363,0.029414,0.0256,0.023,0.0184,0.0139,0.0116
"APC-R700",-0.00031,0.000318,0.000189,0.000414,0.000159,0.001043,0.001108,0.000516,1.31e-05,0.000319,0.000206,0.000323,0.000581,0.00035,-9.49e-05,0.00011,5.59e-05,0.000778,0.001094,0.002685,0.006204,0.009687,0.010897,0.011166,0.007324,0.004885,0.003069,0.002624,0.001734,0.001235,0.000615,0.000766,0.000424,0.000421,0.000155,0.00101,0.000703,0.000578,0.00251,0.002679,0.002431,0.002797,0.001434,0.000268,0.000503,0.001136,0.001073,0.00094,0.000589,0.000579,-1.93e-05,0.001724,0.003127,0.005845,0.013062,0.026356,0.044794,0.049457,0.045622,0.034223,0.02185,0.015079,0.013254,0.009424,0.008829,0.007464,0.005156,0.004057,0.002948,0.001774,0.002666,0.004283,0.003985,0.018541,0.019378,0.020491,0.01991,0.014295,0.00161,0.002977,0.006236,0.005227,0.004801,0.003033,0.001595,0.001444,0.008853,0.015898,0.026091,0.054643,0.123713,0.195858,0.235813,0.197217,0.130379,0.086096,0.05948,0.043991,0.036569,0.0284,0.025819,0.021292,0.012295,0.009455,0.006046,0.006209,0.00652,0.00686,0.00731,0.00639,0.00135,0.000953,0.00332,0.003873,0.00232,0.001988,0.000643,0.000349,0.001335,0.003415,0.004776,0.01152,0.024556,0.038402,0.042155,0.038612,0.028272,0.020112,0.013559,0.010251,0.008319,0.00659,0.005076,0.003865,0.003061,0.0021,0.00143,0.00067,0.0013,0.000985,0.001723,0.002315,0.001454,0.002148,0.019917,0.03974,0.070311,0.172252,0.393342,0.615649,0.711336,0.577264,0.436574,0.2964,0.205437,0.164529,0.127054,0.0944,0.072848,0.054955,0.03985,0.025769,0.01891,0.033592,0.050535,0.092241,0.234024,0.502994,0.822418,1,0.852766,0.640912,0.422025,0.304462,0.220378,0.174213,0.142498,0.113092,0.090303,0.066102,0.045739,0.040422
"APC-H7",0.002631,0.003305,0.003324,0.006879,0.009002,0.004993,0.005515,0.004534,0.000704,-0.00086,0.002182,0.001248,0.000139,0.001773,-0.00093,-0.00061,-0.00053,-0.00116,-0.00062,-0.00036,-0.00363,-0.00156,-0.00256,7.87e-05,-0.00201,0.00085,0.002179,0.006585,0.008518,0.012678,0.010463,0.008629,0.007805,0.003655,0.001969,0.00336,0.005358,0.006221,0.015093,0.024718,0.024992,0.021957,0.016192,0.004828,0.003033,0.009618,0.009714,0.008508,0.004856,0.003435,0.00217,0.006191,0.00537,0.005354,0.003083,0.003395,0.002311,0.004149,0.003896,0.006565,0.009574,0.024824,0.045168,0.064975,0.071323,0.068841,0.053093,0.03701,0.024981,0.018415,0.013771,0.027066,0.023471,0.104012,0.087218,0.099541,0.116936,0.072379,0.009294,0.01714,0.031441,0.03354,0.022687,0.02775,0.003761,-0.00054,0.012421,0.015251,0.007341,0.010299,0.005555,0.005081,0.005913,0.00533,0.01223,0.038535,0.083545,0.178026,0.231,0.281095,0.266721,0.223605,0.16289,0.108802,0.068334,0.0247,0.033075,0.0319,0.0335,0.0302,0.00673,0.006604,0.0202,0.011,0.012215,0.007476,0.005299,0.000665,0.003174,0.002903,0.004348,0.002928,0.004128,0.00098,0.002102,0.001344,0.000117,0.004279,0.006242,0.01361,0.022881,0.026501,0.021271,0.01915,0.014762,0.010372,0.00714,0.00413,0.007047,0.006379,0.00548,0.008809,0.00448,0.00125,0.0142,0.0196,0.011606,0.009494,0.011216,0.005708,0.008679,0.010746,0.0295,0.085033,0.209506,0.417805,0.576533,0.619188,0.536396,0.422845,0.288215,0.181503,0.124388,0.024654,0.028939,0.021883,0.01329,0.009422,0.009172,0.011484,0.01698,0.052293,0.129336,0.330026,0.622463,0.858463,1,0.961377,0.79407,0.583151,0.400633,0.321724
"APC-Cy7",0.000874,0.003522,0.002188,0.003554,0.007494,0.006966,0.007236,0.003362,0.000842,0.001493,0.002047,0.001803,0.002589,0.00171,0.00112,-0.00065,-0.00117,0.001864,0.000973,0.00013,-2.95e-05,8.92e-05,-0.00047,-0.00035,9.23e-05,0.002958,0.004675,0.008308,0.009871,0.012294,0.006147,0.007604,0.003975,0.002631,0.002501,0.001875,0.003982,0.003329,0.01071,0.016395,0.018882,0.016972,0.010897,0.001743,0.002607,0.006397,0.006351,0.003989,0.002886,0.001439,0.000615,0.004868,0.007065,0.006083,0.001992,0.00371,0.002125,0.002286,0.003144,0.005659,0.014815,0.031857,0.056169,0.062138,0.072367,0.058043,0.046945,0.027972,0.015913,0.013275,0.007909,0.014104,0.015746,0.047305,0.069433,0.060574,0.058202,0.04235,0.005159,0.012614,0.018618,0.0186,0.013272,0.017652,0.003031,0.003559,0.018978,0.033882,0.021952,0.013461,0.016603,0.014523,0.007956,0.020407,0.030167,0.074264,0.139529,0.206172,0.263407,0.276753,0.22985,0.184585,0.110655,0.080624,0.042251,0.010422,0.01654,0.016634,0.019694,0.0166,0.00402,0.002744,0.009854,0.01198,0.005616,0.004575,0.002207,-0.00051,0.00298,0.004714,0.004307,0.002196,0.001823,9.15e-05,0.000692,0.00182,0.002279,0.004655,0.01213,0.017829,0.02388,0.023865,0.021774,0.01439,0.008763,0.009581,0.005941,0.003418,-0.00024,0.007416,0.000651,0.010473,0.003937,0.0052,0.04662,0.076,0.043787,0.025766,0.022393,0.016274,0.020818,0.032614,0.075899,0.167754,0.329446,0.548309,0.667985,0.602198,0.46572,0.326798,0.217467,0.139513,0.097046,0.067025,0.090395,0.067812,0.037497,0.027784,0.023502,0.029325,0.043558,0.105129,0.252187,0.510039,0.803309,0.976215,1,0.82959,0.623205,0.421883,0.288964,0.255229
"APC-Fire 810",-0.0042,0.000528,0.000207,-0.00179,-0.00041,0.003001,0.000762,0.001304,0.000306,0.000421,0.000359,0.000188,0.001306,0.000415,0.00109,0.000537,0.0068,0.00987,0.00636,0.00469,0.00422,0.00314,0.00347,0.00195,0.000526,0.001676,0.00243,0.00376,0.00948,0.018,0.0268,0.0368,0.0239,0.00486,0.00201,-0.00414,-0.00086,4.83e-05,0.000308,0.000886,0.000957,0.000266,0.000599,0.000112,0.000245,0.000552,0.000279,0.000426,0.000598,0.000485,0.000441,0.00552,0.00818,0.00646,0.00418,0.00305,0.00278,0.00251,0.00232,0.001828,0.001512,0.002263,0.005,0.0116,0.0255,0.0416,0.0542,0.0454,0.0357,0.02,-0.00309,-0.00351,-0.00178,0.002647,0.001842,0.001477,0.001714,0.002272,-0.00014,0.000902,0.000184,7.74e-05,0.001951,0.004248,0.001508,0.003154,0.031759,0.043101,0.027939,0.018025,0.014916,0.012714,0.011262,0.009414,0.00893,0.009404,0.012465,0.031843,0.074923,0.144052,0.217264,0.268517,0.236311,0.169,0.0887,-0.00037,0.000149,0.000375,0.000843,0.000464,0.000159,8.73e-05,0.000677,0.00165,0.00119,0.00135,0.000625,0.000251,0.00259,0.00378,0.0027,0.00188,0.00133,0.00117,0.000769,0.000789,0.000585,0.000561,0.000647,0.00162,0.00433,0.00679,0.0154,0.0176,0.0175,0.0125,0.00686,0.00111,0.00224,0.00629,0.012,0.0224,0.0146,0.00837,0.0883,0.149,0.101,0.0636,0.051,0.0434,0.0393,0.031,0.0281,0.0239,0.0297,0.0642,0.147,0.264,0.397,0.473,0.45,0.317,0.224,0.154,0.192,0.14,0.08,0.0664,0.0561,0.0517,0.0456,0.0413,0.0365,0.05,0.101,0.23,0.466,0.765,1,0.881,0.655,0.477
"BB515",-9.7e-06,2.76e-05,9.33e-06,0.007967,0.011746,0.010514,0.007242,0.003723,0.000525,0.000573,0.00119,0.000782,0.000461,0.00028,8.78e-05,-4.17e-05,4.23e-05,4.08e-05,3.24e-05,4.93e-05,1.85e-05,-4.55e-05,-6.63e-06,4.3e-05,0.000149,0.000149,0.000115,3.39e-05,4.94e-05,2.36e-05,-1.64e-05,-4.83e-05,-5.34e-05,-3.57e-05,-2.69e-05,7.4e-05,1.52e-05,3.81e-05,0.009115,0.015194,0.015447,0.010057,0.005129,0.000652,0.000827,0.001404,0.000918,0.000605,0.000344,7.52e-05,5.51e-06,4.83e-05,6.73e-05,3.06e-05,-3.87e-06,1.38e-05,-1.1e-05,5.23e-05,0.000157,0.000278,0.000342,0.000287,0.000115,9.71e-05,1.82e-05,1.04e-05,-1e-05,2.49e-05,3.49e-05,5.56e-05,2.68e-05,-1.67e-05,0.000102,0.019819,0.024122,0.02508,0.015572,0.008536,0.001195,0.001281,0.002121,0.001409,0.000872,0.000816,0.000273,6.78e-05,5.36e-05,1.56e-05,-8.2e-05,9.75e-05,7.91e-06,-7.09e-05,1.21e-05,0.000144,0.000335,0.000518,0.000388,0.000245,0.00015,0.00011,-6.93e-06,3.57e-05,9.48e-05,-4.72e-05,-5.69e-05,0.794,1,0.983,0.723,0.418,0.0863,0.0403,0.10544,0.0735,0.0445,0.0292,0.0118,0.000903,0.00423,0.00512,0.00377,0.00298,0.00202,0.00127,0.00204,0.00625,0.013,0.0132,0.012,0.00717,0.00327,0.00145,0.000862,0.00106,0.000784,0.000566,0.00037,8.73e-05,0.000106,5.6e-05,4.07e-05,-2.76e-06,4.03e-05,-5.35e-06,1.49e-05,-3.14e-05,-1.05e-06,6.8e-05,-4.06e-05,-1.75e-05,1.35e-05,-4.45e-05,-1.85e-06,4.37e-05,1.51e-05,1.98e-05,3.01e-05,-2.42e-05,-1.06e-05,2.6e-05,-2.02e-06,3.54e-05,1.85e-05,1.09e-05,-1.61e-05,-3.2e-05,-2.31e-05,-2.44e-05,-2.6e-05,-1.78e-05,-3.49e-05,-1.9e-05,-5.78e-06,-2.14e-05,-2.34e-05,-3.86e-05,-1.01e-05,4.14e-05,2.55e-05,-2.35e-05,2.29e-05,1.68e-05
"BB700",-0.00031,0.000302,-1.57e-06,-0.00032,0.000795,0.000517,0.001735,0.001672,0.000283,0.001085,0.003659,0.003265,0.003233,0.002353,0.000947,-0.00039,0.002239,0.008283,0.022964,0.044642,0.050383,0.045239,0.03211,0.022345,0.018061,0.013425,0.012985,0.00887,0.008269,0.00535,0.00392,0.003,0.00204,0.00121,0.000911,-0.00022,-0.00014,9.21e-06,0.000154,0.000916,0.001601,0.002985,0.00237,0.00073,0.001566,0.003273,0.003498,0.002908,0.002408,0.001495,0.000378,0.004284,0.012427,0.038403,0.066839,0.072849,0.063996,0.045496,0.034213,0.02703,0.02179,0.018792,0.017001,0.013069,0.0104,0.00788,0.00581,0.003345,0.00265,0.00194,-0.00048,-0.00058,-0.00011,0.001949,0.006284,0.023396,0.034226,0.038107,0.006193,0.025888,0.051247,0.058372,0.053755,0.061556,0.025761,0.006422,0.063111,0.182282,0.443995,0.760547,0.91114,0.762166,0.555577,0.390693,0.267175,0.231476,0.203988,0.159848,0.130664,0.105761,0.0739,0.057683,0.040793,0.034393,0.024328,0.003259,0.010007,0.021667,0.038998,0.046049,0.01267,0.019103,0.068783,0.074934,0.0662,0.060533,0.031302,0.00421,0.046516,0.145769,0.402217,0.817,1,0.78192,0.529,0.37,0.283108,0.24104,0.204176,0.172015,0.147,0.107,0.0767,0.0578,0.0433,0.0352,0.0273,-0.00056,5.12e-05,0.000453,1.3e-06,-0.00018,-0.00013,0.000218,0.00513,0.023,0.060538,0.109,0.12691,0.106,0.076718,0.0514,0.043364,0.0348,0.0316,0.0289,0.02,0.0163,0.0108,0.00741,0.00532,0.00332,0.00286,0.025,0.0589,0.166,0.324,0.391,0.332,0.247,0.166,0.131,0.108,0.0986,0.079,0.061,0.048009,0.0363,0.026152,0.0195,0.0144,0.025
