"fluorophore","FL07-A","FL08-A","FL10-A","FL09-A","FL11-A","FL06-A","FL05-A","FL04-A","FL03-A","FL00-A","FL01-A","FL02-A","FL16-A","FL15-A","FL17-A","FL18-A","FL13-A","FL14-A","FL12-A","FL23-A","FL22-A","FL21-A","FL19-A","FL20-A","FL37-A","FL36-A","FL38-A","FL39-A","FL42-A","FL41-A","FL40-A","FL31-A","FL32-A","FL34-A","FL33-A","FL35-A","FL24-A","FL26-A","FL25-A","FL28-A","FL27-A","FL30-A","FL29-A","FL46-A","FL47-A","FL43-A","FL45-A","FL44-A","FL48-A","FL49-A","FL50-A"
"Alexa Fluor 350",0.040896,0.621333,0.844226,1,0.906125,0.415451,0.091714,0.03243,0.013251,0.004939,0.000867,8.12e-05,0.047325,0.048915,0.044276,0.025037,0.011852,0.002681,0.000952,0.000105,6.24e-07,3e-05,-4.14e-06,-8.16e-06,4.46e-05,4.32e-05,6.21e-05,1.47e-05,9.03e-07,4.53e-06,3.3e-06,8.92e-05,9.07e-05,4.84e-05,3.15e-05,4.23e-05,-4e-05,-0.00012,4.67e-06,4.58e-05,-4.5e-05,5.31e-06,5.87e-06,1.05e-05,-9.62e-06,-1.43e-05,4.26e-06,-5.99e-05,2.14e-05,-2.68e-06,-8.62e-07
"Alexa Fluor 488",0.001037,0.000866,0.00061,0.000915,0.001229,0.020757,0.019659,0.006335,0.001799,0.000283,8.37e-05,-3.9e-05,0.000145,0.000179,0.000133,0.000526,0.007018,0.005228,0.001225,0.000265,-1.43e-05,-2.74e-05,3.59e-05,-2.25e-05,1,0.448468,0.080475,0.042098,0.006437,0.000871,0.000148,3.67e-05,6.49e-05,4.47e-06,3.44e-06,6.05e-05,4.67e-06,0.000257,8.49e-05,0.000234,0.000173,-7.54e-05,7.08e-05,-7.66e-05,3.15e-05,4.17e-06,4.72e-05,0.000495,8.62e-05,-1e-04,-0.00014
"Alexa Fluor 594",-0.02258,-0.02358,-0.01356,-0.02541,-0.04831,-0.05425,-0.03226,-0.01512,0.177292,0.134085,0.040091,0.000815,-0.00849,-0.0059,-0.00459,-0.00856,-0.0161,-0.01525,-0.00298,0.230195,0.118253,0.050138,0.010564,0.004351,-1e-04,0.000415,0.002348,0.01601,0.009158,0.00243,0.000574,0.011024,0.149534,0.820342,1,0.843116,0.312911,0.305223,0.140296,0.19011,0.016623,0.006125,2.67e-05,0.029744,0.005225,0.004659,0.002942,0.002511,-6.14e-05,-4.51e-05,-0.00012
"Alexa Fluor 647",0.001279,0.001193,0.000534,0.000973,0.001302,0.00146,0.000779,0.000209,0.000358,0.019043,0.007042,0.000976,-9.42e-05,-6.73e-05,0.000159,7.63e-05,0.00051,0.000432,9.47e-05,9.79e-05,0.000715,0.001302,7.85e-05,-1.05e-05,0.000393,0.000202,-6.22e-05,-1.76e-05,0.002915,0.000738,7.41e-05,-3.31e-05,8.35e-07,4.72e-05,-4.41e-07,0.113376,0.052968,0.048827,0.024708,0.047322,0.003457,0.00095,-4.61e-05,1,0.280125,0.285266,0.253758,0.112654,1.9e-05,-4.68e-06,7.55e-05
"Alexa Fluor 700",0.003941,0.00249,0.001886,0.002249,0.006656,0.004963,0.003866,0.001271,0.000657,0.011085,0.306095,0.041257,0.000596,0.000511,0.001501,0.001913,0.004514,0.002742,0.001046,0.000995,0.000447,0.120753,0.060946,0.033114,0.005911,0.002665,0.001086,0.001155,0.000382,0.029585,0.005678,-9.74e-05,0.000295,0.000327,0.000565,0.006354,0.020525,0.108966,0.151927,0.228278,0.032394,0.006557,0.000706,0.020829,0.318164,1,0.716758,0.393353,0.001129,0.000767,0.000262
"APC",0.00102,0.000952,0.00047,0.000738,0.000958,0.001486,0.001022,0.000158,0.002617,0.205064,0.072974,0.007594,-0.00017,6.38e-05,-4.49e-05,0.000647,0.000389,0.000661,0.000347,0.00116,0.077181,0.025769,0.010767,0.00571,0.000422,0.000736,0.000276,0.000332,0.014312,0.003402,0.000791,-2.58e-05,6.79e-05,0.001121,0.006188,0.423709,0.076144,0.074736,0.056989,0.10831,0.014227,0.005121,1.46e-05,1,0.125771,0.186374,0.164814,0.085607,2.97e-05,-5.5e-05,0.000283
"APC-Cy7",0.000182,-0.00011,-0.00011,0.000488,0.001934,0.003528,0.003948,0.002368,0.002588,0.003038,0.006041,0.10754,0.000164,0.000158,0.000997,0.001068,0.003467,0.002314,0.000793,-5.36e-05,0.000315,0.000771,0.00669,0.091506,0.004141,0.003315,-9.63e-05,0.000495,0.000372,0.000205,0.006958,9.47e-05,5.98e-06,8.07e-05,7.55e-05,0.005002,0.000763,0.001709,0.000452,0.091291,0.120752,0.027581,0.000539,0.025539,0.00105,0.005727,0.243825,1,0.881374,0.282885,0.059169
"APC-H7",-8.04e-05,0.000139,-0.00013,2.62e-05,0.000413,0.000528,0.001835,0.000449,0.000509,0.001062,0.001363,0.065569,0.000356,0.000259,0.00104,0.001061,0.002054,0.001569,0.000563,0.000435,0.000199,0.000226,0.001689,0.052356,0.002817,0.002573,7.52e-05,0.000279,0.000103,-9.23e-05,0.003372,-6.6e-05,-0.00011,-2.72e-05,-1.23e-05,0.000798,0.000493,0.00119,0.000201,0.026052,0.076189,0.016737,0.000493,0.003691,6.11e-05,0.000679,0.076554,0.630854,1,0.352827,0.077087
"APC-R700",7.85e-05,-7.13e-05,-7.95e-05,-7.14e-05,-9.75e-05,0.000994,0.001118,0.000612,0.000669,0.018591,0.297586,0.034808,0.00022,-1.7e-05,0.000807,0.00075,0.001818,0.001499,0.000504,0.000103,0.001911,0.097719,0.035113,0.020548,0.003064,0.002188,0.000268,0.000226,0.00117,0.03914,0.00691,1.81e-05,-8.12e-06,-8.18e-05,-2.67e-06,0.015547,0.043312,0.181626,0.226129,0.317,0.046369,0.010642,0.00046,0.05172,0.414981,1,0.648363,0.325441,0.000416,0.000324,0.000172
"APC-Fire 750",0.002428,-0.00877,-0.00725,-0.01185,-0.01968,-0.02221,-0.01283,-0.00639,-0.00505,-0.00276,0.001244,0.096821,-0.00618,-0.00481,-0.00164,-4.39e-06,-0.0068,-0.00569,-0.00135,-0.00074,0.000542,1.77e-06,0.007275,0.0835,0.000379,0.00044,0.000737,0.000584,0.000387,1.81e-05,0.00169,0.000123,0.000601,0.000808,0.001239,0.005766,0.001272,0.001104,0.000845,0.062496,0.107019,0.023255,0.00088,0.015551,0.001574,0.003619,0.146928,0.774505,1,0.328869,0.057362
